date_time,from_id,from_name,from_lon,from_lat,to_id,to_name,to_lon,to_lat
2016-10-01T00:33:00,604106,"MA Rathaus/REM",8.463582,49.489551,211206,Heinrich-Ries-Halle,8.426591,49.487647
2016-10-01T00:41:00,687805,"Inden Neugärten",8.36599,49.47887,133112,Berufsschule,8.661295,49.40842
2016-10-01T00:46:00,259505,Schlittweg,8.543745,49.455891,127607,"Rohrbach Markt",8.687865,49.380376
2016-10-01T00:55:00,209005,Marienkirche,8.431398,49.485371,231106,Adolf-Damaschke-Ring,8.521015,49.493407
2016-10-01T02:10:00,243705,Zielstraße,8.50002,49.50577,202205,Bruderweg,8.391627,49.525956
2016-10-01T02:28:00,235708,Lanzvilla,8.486977,49.485062,263511,"Wallstadt Bahnhof",8.548714,49.498805
2016-10-01T02:32:00,233506,"Fried. Vogesenstraße",8.578992,49.442503,118903,Römerstr.,8.68535,49.40792
2016-10-01T02:42:00,348212,"Schriesheim Süd",8.6635,49.463879,240612,Fernmeldeturm,8.493381,49.486838
2016-10-01T03:13:00,250012,Windeckstraße,8.468792,49.473892,133401,Sandwingert,8.64437,49.41897
2016-10-01T03:43:00,245301,Planetarium,8.489474,49.476617,260905,"Vogelstang West",8.531727,49.507025
2016-10-01T04:13:00,558805,Karl-Feuerstein-Str.,8.487207,49.522247,263906,"Wallstadt Sportanl.",8.542474,49.500639
2016-10-01T05:09:00,211302,Amtsgericht,8.451567,49.471589,246805,Ida-Dehmel-Ring,8.531081,49.504648
2016-10-01T05:53:00,263402,Kiesäcker,8.536587,49.498917,125301,"Im Wellengewann",8.64077,49.409376
2016-10-01T06:08:00,664902,"Westlich B9",8.35364,49.48335,132401,"Neuer Weg",8.752939,49.417451
2016-10-01T06:59:00,113606,Hans-Thoma-Platz,8.68266,49.42816,126801,Haberstr.,8.682777,49.365091
2016-10-01T07:16:00,124202,Studentenwohnheim,8.662679,49.418702,114802,"Schönauer Abtweg",8.75969,49.42071
2016-10-01T07:40:00,203606,Riedsaumpark,8.404692,49.495308,245405,Bäckerweg,8.507356,49.505025
2016-10-01T07:55:00,687705,"Strandbad Blies",8.41541,49.475622,252205,Neuostheim,8.52254,49.477548
2016-10-01T08:19:00,132301,Neckarschule,8.756981,49.419401,210505,Shellhaus,8.446341,49.470011
2016-10-01T09:17:00,257305,"Graudenzer Linie",8.481112,49.539356,216602,"Zum Guten Hirten",8.386845,49.488341
2016-10-01T09:25:00,188602,Georgi-Marktplatz,8.68889,49.34955,588302,"Burg Waldeck",8.785837,49.487931
2016-10-01T09:46:00,243405,Gutenbergstraße,8.50406,49.49287,220301,Ruchheim,8.32755,49.478501
2016-10-01T09:52:00,204105,Schwalbenweg,8.41799,49.493927,62106,"Edingen Rathaus",8.613064,49.447564
2016-10-01T10:39:00,211705,"Maudach Gemeindehaus",8.38304,49.45524,235005,Muskatormühle,8.449657,49.531585
2016-10-01T11:52:00,125901,Steinhofweg,8.646241,49.394187,256306,Krähenflügel,8.457486,49.551417
2016-10-01T12:47:00,261602,Roche,8.468683,49.528692,246506,Strohmarkt,8.470116,49.486261
2016-10-01T13:03:00,124101,"Sportzentrum Nord",8.660608,49.426444,232402,Talstraße,8.525015,49.495341
2016-10-01T14:15:00,259206,"Zähringer Straße",8.559936,49.463635,69702,"Eppelheim Rathaus",8.629096,49.401611
2016-10-01T14:25:00,252805,Fr.-Nansen-Weg,8.540878,49.412715,603105,"Innerer Heckweg",8.563189,49.459265
2016-10-01T15:13:00,170002,"Medizinische Klinik",8.666351,49.414627,262002,Freilichtbühne,8.49327,49.53392
2016-10-01T15:41:00,255705,"Bürstadter Straße",8.453338,49.535491,204206,Sternstraße,8.415567,49.496022
2016-10-01T16:49:00,302405,Husarenweg,8.500058,49.468867,241801,"MA Hauptfriedhof",8.49114,49.490969
2016-10-01T18:37:00,237405,Sonnenschein,8.505328,49.521977,249701,Markuskirche,8.475596,49.464621
2016-10-01T18:39:00,124502,Hans-Bunte-Str.,8.640388,49.406744,122501,Blumenthalstr.,8.68906,49.421556
2016-10-01T18:55:00,300002,Neckarbrücke,8.791773,49.394581,231202,"Am Aubuckel",8.51933,49.488511
2016-10-01T21:12:00,133304,Heiligenbergschule,8.679328,49.423398,687805,"Inden Neugärten",8.36599,49.47887
2016-10-01T21:25:00,554702,"Käfertal Bahnhof",8.518556,49.510136,108801,"Im Anger",8.767063,49.411621
2016-10-01T21:33:00,217405,Kurt-Schumacher-Str.,8.39909,49.52549,82902,Lutherstr.,8.69089,49.41736
2016-10-01T22:13:00,608006,"Am Salzkai",8.46081,49.49641,570002,Oggersheim,8.364314,49.488298
2016-10-01T22:17:00,208101,"LU Hauptfriedhof",8.424069,49.483946,124801,"Ziegelh. Friedhof",8.76095,49.41959
2016-10-01T22:55:00,219102,Brückweg,8.42593,49.44615,220301,Ruchheim,8.32755,49.478501
2016-10-01T23:31:00,264312,"Wallstadt Ost",8.553981,49.497288,252401,Schwindstraße,8.518294,49.4784
2016-10-02T00:29:00,587101,Gewerbegebiet,8.808979,49.426591,114502,Bierhelderhof,8.705376,49.389929
2016-10-02T00:35:00,169311,"HD Fachhochschule",8.649356,49.415694,248805,Freiheitsplatz,8.479514,49.45958
2016-10-02T02:01:00,129602,"Käfertaler Str.",8.644773,49.430254,236606,Maximilianstraße,8.485739,49.482564
2016-10-02T02:02:00,117702,Nansenstr.,8.686187,49.389952,260205,"Magdeburger Straße",8.546999,49.51379
2016-10-02T03:36:00,128703,"S-Bf Schlierb./Zgh.",8.761798,49.415282,231507,Feudenheim,8.53847,49.48407
2016-10-02T03:38:00,256207,Kirschgartshausen,8.447633,49.581194,257906,Sachsenstraße,8.546428,49.507427
2016-10-02T06:40:00,259111,"Seckenheim OEG-Bf.",8.569489,49.462242,209007,Marienkirche,8.43043,49.485144
2016-10-02T08:50:00,127402,"Ortenauer Str.",8.68779,49.376861,253005,Hallenweg,8.535053,49.448886
2016-10-02T09:06:00,122602,Technologiepark,8.676353,49.419414,203706,Rottstückerweg,8.41598,49.502671
2016-10-02T09:35:00,215106,Pettenkoferstraße,8.422367,49.486024,213906,"Mundenheim Nord",8.432754,49.465653
2016-10-02T10:22:00,255505,Bartholomäuskirche,8.446834,49.545651,253906,Martinistraße,8.52677,49.443144
2016-10-02T10:46:00,231202,"Am Aubuckel",8.51933,49.488511,261601,Roche,8.469148,49.528296
2016-10-02T11:00:00,114906,Rudolf-Diesel-Str.,8.67719,49.39612,260601,Vogelstang,8.543754,49.511757
2016-10-02T12:02:00,215205,"Oggersheim Friedhof",8.367368,49.497168,220301,Ruchheim,8.32755,49.478501
2016-10-02T12:37:00,204861,Marienkrankenhaus,8.409136,49.459558,263205,Alemannenstraße,8.553145,49.494956
2016-10-02T12:39:00,555706,Blücherstraße,8.527681,49.487314,207806,Halberg,8.451111,49.477152
2016-10-02T13:24:00,680305,Irisstraße,8.371997,49.458982,203102,"Friesenheim Ost",8.421054,49.501799
2016-10-02T15:07:00,240506,Jungbuschschule,8.45914,49.495509,129402,"Grenzhöfer Weg",8.644927,49.426487
2016-10-02T15:48:00,114501,Bierhelderhof,8.705116,49.390146,118012,Ochsenkopf,8.653085,49.409427
2016-10-02T15:48:00,236905,"Neues Leben",8.502937,49.51926,238906,Soldnerstraße,8.518041,49.453208
2016-10-02T16:22:00,283306,"Saarburger Ring",8.57549,49.44573,554612,"Im Rott",8.527988,49.507693
